,DateTime,TimeOffset,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,EnviroDIY_Mayfly_Temp,Digi_Cellular_SignalPercent
126509,2023-05-01 00:00:00,-8,2023-04-30 16:00:00,428.3,389.8,17.6,4.139,29.25,109.0
126510,2023-05-01 00:05:00,-8,2023-04-30 16:05:00,428.3,390.0,17.6,4.139,28.75,109.0
126511,2023-05-01 00:10:00,-8,2023-04-30 16:10:00,427.3,390.5,17.6,4.139,28.5,109.0
126512,2023-05-01 00:15:00,-8,2023-04-30 16:15:00,428.3,398.2,17.6,4.139,27.75,109.0
126513,2023-05-01 00:20:00,-8,2023-04-30 16:20:00,428.8,397.3,17.6,4.139,27.0,109.0
126514,2023-05-01 00:25:00,-8,2023-04-30 16:25:00,427.5,389.5,17.6,4.139,26.25,109.0
126515,2023-05-01 00:30:00,-8,2023-04-30 16:30:00,429.0,389.3,17.6,4.139,25.5,109.0
126516,2023-05-01 00:35:00,-8,2023-04-30 16:35:00,427.8,388.8,17.6,4.139,25.25,109.0
126517,2023-05-01 00:40:00,-8,2023-04-30 16:40:00,427.0,389.5,17.6,4.139,24.75,109.0
126518,2023-05-01 00:45:00,-8,2023-04-30 16:45:00,429.3,388.8,17.6,4.139,24.75,109.0
126519,2023-05-01 00:50:00,-8,2023-04-30 16:50:00,429.3,390.3,17.6,4.139,25.0,109.0
126520,2023-05-01 00:55:00,-8,2023-04-30 16:55:00,428.3,388.8,17.6,4.139,25.25,109.0
126521,2023-05-01 01:00:00,-8,2023-04-30 17:00:00,428.2,389.8,17.6,4.139,25.25,109.0
126522,2023-05-01 01:05:00,-8,2023-04-30 17:05:00,428.5,389.5,17.6,4.139,25.25,109.0
126523,2023-05-01 01:10:00,-8,2023-04-30 17:10:00,429.3,402.3,17.6,4.139,25.25,109.0
126524,2023-05-01 01:15:00,-8,2023-04-30 17:15:00,428.0,391.5,17.6,4.139,25.5,109.0
126525,2023-05-01 01:20:00,-8,2023-04-30 17:20:00,429.3,388.2,17.6,4.139,25.25,109.0
126526,2023-05-01 01:25:00,-8,2023-04-30 17:25:00,428.0,399.5,17.6,4.139,25.5,109.0
126527,2023-05-01 01:30:00,-8,2023-04-30 17:30:00,428.0,390.7,17.6,4.139,25.25,109.0
126528,2023-05-01 01:35:00,-8,2023-04-30 17:35:00,428.5,390.7,17.6,4.139,25.0,109.0
126529,2023-05-01 01:40:00,-8,2023-04-30 17:40:00,427.5,389.5,17.6,4.139,24.5,71.0
126530,2023-05-01 01:45:00,-8,2023-04-30 17:45:00,429.3,390.0,17.6,4.139,24.25,109.0
126531,2023-05-01 01:50:00,-8,2023-04-30 17:50:00,428.2,389.5,17.6,4.139,23.75,109.0
126532,2023-05-01 01:55:00,-8,2023-04-30 17:55:00,427.8,389.8,17.6,4.139,23.25,109.0
126533,2023-05-01 02:00:00,-8,2023-04-30 18:00:00,427.8,389.7,17.6,4.139,22.75,109.0
126534,2023-05-01 02:05:00,-8,2023-04-30 18:05:00,427.8,401.7,17.63,4.124,22.25,71.0
126535,2023-05-01 02:10:00,-8,2023-04-30 18:10:00,428.2,391.3,17.7,4.124,21.75,109.0
126536,2023-05-01 02:15:00,-8,2023-04-30 18:15:00,428.0,388.5,17.7,4.124,21.0,109.0
126537,2023-05-01 02:20:00,-8,2023-04-30 18:20:00,427.3,387.7,17.7,4.124,20.5,109.0
126538,2023-05-01 02:25:00,-8,2023-04-30 18:25:00,429.2,388.0,17.68,4.124,20.0,109.0
126539,2023-05-01 02:30:00,-8,2023-04-30 18:30:00,429.5,388.8,17.63,4.124,19.5,109.0
126540,2023-05-01 02:35:00,-8,2023-04-30 18:35:00,428.3,390.0,17.62,4.124,19.0,109.0
126541,2023-05-01 02:40:00,-8,2023-04-30 18:40:00,427.8,389.3,17.65,4.124,18.5,109.0
126542,2023-05-01 02:45:00,-8,2023-04-30 18:45:00,427.2,388.7,17.7,4.124,18.0,109.0
126543,2023-05-01 02:50:00,-8,2023-04-30 18:50:00,426.8,389.0,17.63,4.124,17.5,109.0
126544,2023-05-01 02:55:00,-8,2023-04-30 18:55:00,428.2,402.8,17.63,4.124,17.0,71.0
126545,2023-05-01 03:00:00,-8,2023-04-30 19:00:00,428.2,389.5,17.63,4.124,16.5,71.0
126546,2023-05-01 03:05:00,-8,2023-04-30 19:05:00,429.5,388.0,17.62,4.124,16.25,109.0
126547,2023-05-01 03:10:00,-8,2023-04-30 19:10:00,428.2,388.2,17.6,4.124,15.75,109.0
126548,2023-05-01 03:15:00,-8,2023-04-30 19:15:00,428.8,388.2,17.6,4.124,15.25,109.0
126549,2023-05-01 03:20:00,-8,2023-04-30 19:20:00,428.5,395.3,17.6,4.124,15.0,109.0
126550,2023-05-01 03:25:00,-8,2023-04-30 19:25:00,429.7,398.0,17.6,4.124,14.75,109.0
126551,2023-05-01 03:30:00,-8,2023-04-30 19:30:00,428.8,391.0,17.6,4.124,14.25,109.0
126552,2023-05-01 03:35:00,-8,2023-04-30 19:35:00,428.3,388.8,17.6,4.124,14.0,109.0
126553,2023-05-01 03:40:00,-8,2023-04-30 19:40:00,427.2,389.2,17.6,4.124,13.75,109.0
126554,2023-05-01 03:45:00,-8,2023-04-30 19:45:00,428.5,388.2,17.6,4.124,13.5,109.0
126555,2023-05-01 03:50:00,-8,2023-04-30 19:50:00,429.0,401.8,17.6,4.124,13.25,109.0
126556,2023-05-01 03:55:00,-8,2023-04-30 19:55:00,429.3,394.3,17.6,4.124,13.0,109.0
126557,2023-05-01 04:00:00,-8,2023-04-30 20:00:00,427.5,391.3,17.6,4.124,12.75,109.0
126558,2023-05-01 04:05:00,-8,2023-04-30 20:05:00,427.7,390.3,17.6,4.124,12.75,109.0
126559,2023-05-01 04:10:00,-8,2023-04-30 20:10:00,428.3,389.8,17.6,4.124,12.5,109.0
126560,2023-05-01 04:15:00,-8,2023-04-30 20:15:00,429.7,389.7,17.6,4.124,12.5,109.0
126561,2023-05-01 04:20:00,-8,2023-04-30 20:20:00,427.3,389.8,17.6,4.124,12.25,71.0
126562,2023-05-01 04:25:00,-8,2023-04-30 20:25:00,429.8,390.0,17.62,4.124,12.0,109.0
126563,2023-05-01 04:30:00,-8,2023-04-30 20:30:00,428.8,389.3,17.7,4.124,12.0,109.0
126564,2023-05-01 04:35:00,-8,2023-04-30 20:35:00,428.0,387.8,17.7,4.124,11.75,109.0
126565,2023-05-01 04:40:00,-8,2023-04-30 20:40:00,428.3,388.0,17.7,4.124,11.75,109.0
126566,2023-05-01 04:45:00,-8,2023-04-30 20:45:00,429.0,402.8,17.7,4.124,11.5,109.0
126567,2023-05-01 04:50:00,-8,2023-04-30 20:50:00,428.8,391.2,17.7,4.124,11.5,109.0
126568,2023-05-01 04:55:00,-8,2023-04-30 20:55:00,428.2,388.7,17.7,4.124,11.5,109.0
