,start_time,end_time,inches
0,2023-05-02 12:15:00+00:00,2023-05-02 13:00:00+00:00,0.08
1,2023-05-02 13:45:00+00:00,2023-05-02 15:00:00+00:00,0.25
2,2023-05-02 15:30:00+00:00,2023-05-02 15:45:00+00:00,0.01
3,2023-05-02 16:30:00+00:00,2023-05-02 16:45:00+00:00,0.06
4,2023-05-02 17:30:00+00:00,2023-05-02 17:45:00+00:00,0.01
5,2023-05-03 00:00:00+00:00,2023-05-03 00:30:00+00:00,0.03
6,2023-05-03 02:15:00+00:00,2023-05-03 02:30:00+00:00,0.13
7,2023-05-03 02:45:00+00:00,2023-05-03 03:00:00+00:00,0.02
8,2023-05-03 06:15:00+00:00,2023-05-03 06:30:00+00:00,0.01
9,2023-05-03 06:45:00+00:00,2023-05-03 09:00:00+00:00,0.16
10,2023-05-03 11:15:00+00:00,2023-05-03 11:30:00+00:00,0.01
11,2023-05-03 12:15:00+00:00,2023-05-03 12:30:00+00:00,0.01
12,2023-05-03 13:45:00+00:00,2023-05-03 14:00:00+00:00,0.01
13,2023-05-03 14:15:00+00:00,2023-05-03 14:30:00+00:00,0.01
14,2023-05-03 14:45:00+00:00,2023-05-03 15:00:00+00:00,0.01
15,2023-05-03 15:45:00+00:00,2023-05-03 16:00:00+00:00,0.01
16,2023-05-03 20:00:00+00:00,2023-05-03 20:15:00+00:00,0.01
17,2023-05-03 22:00:00+00:00,2023-05-03 22:30:00+00:00,0.03
18,2023-05-04 02:30:00+00:00,2023-05-04 02:45:00+00:00,0.01
19,2023-05-04 03:15:00+00:00,2023-05-04 03:30:00+00:00,0.01
20,2023-05-04 03:45:00+00:00,2023-05-04 04:00:00+00:00,0.01
21,2023-05-06 01:00:00+00:00,2023-05-06 01:15:00+00:00,0.01
22,2023-05-06 01:45:00+00:00,2023-05-06 02:30:00+00:00,0.04
23,2023-05-06 02:45:00+00:00,2023-05-06 03:15:00+00:00,0.02
24,2023-05-06 03:30:00+00:00,2023-05-06 03:45:00+00:00,0.01
25,2023-05-06 05:00:00+00:00,2023-05-06 05:15:00+00:00,0.01
26,2023-05-06 07:45:00+00:00,2023-05-06 08:00:00+00:00,0.01
27,2023-05-06 12:15:00+00:00,2023-05-06 12:30:00+00:00,0.02
28,2023-05-06 13:15:00+00:00,2023-05-06 14:00:00+00:00,0.15000000000000002
29,2023-05-06 14:15:00+00:00,2023-05-06 14:30:00+00:00,0.04
30,2023-05-08 14:30:00+00:00,2023-05-08 16:00:00+00:00,0.09
31,2023-05-08 16:30:00+00:00,2023-05-08 16:45:00+00:00,0.02
32,2023-05-08 17:00:00+00:00,2023-05-08 17:15:00+00:00,0.01
33,2023-05-21 12:15:00+00:00,2023-05-21 12:30:00+00:00,0.01
