Time,Año Nuevo Rainfall mm,Blue Oak Ranch Rainfall mm,Bodega Rainfall mm,Jepson Rainfall mm,McLaughlin Rainfall mm,Point Reyes Rainfall mm,WhiteMt Barcroft Rainfall mm,Yosemite Mariposa Grove Rainfall mm,Younger Rainfall mm
10/1/22 00:00,0,0,0,0,0,0,0,0,0
10/1/22 00:10,0,0,0,0,0,0,0,0,0
10/1/22 00:20,0,0,0,0,0,0,0,0,0
10/1/22 00:30,0,0,0,0,0,0,0,0,0
10/1/22 00:40,0,0,0,0,0,0,0,0,0
10/1/22 00:50,0,0,0,0,0,0,0,0,0
10/1/22 01:00,0,0,0,0,0,0,0,0,0
10/1/22 01:10,0,0,0,0,0,0,0,0,0
10/1/22 01:20,0,0,0,0,0,0,0,0,0
10/1/22 01:30,0,0,0,0,0,0,0,0,0
10/1/22 01:40,0,0,0,0,0,0,0,0,0
10/1/22 01:50,0,0,0,0,0,0,0,0,0
10/1/22 02:00,0,0,0,0,0,0,0,0,0
10/1/22 02:10,0,0,0,0,0,0,0,0,0
10/1/22 02:20,0,0,0,0,0,0,0,0,0
10/1/22 02:30,0,0,0,0,0,0,0,0,0
10/1/22 02:40,0,0,0,0,0,0,0,0,0
10/1/22 02:50,0,0,0,0,0,0,0,0,0
10/1/22 03:00,0,0,0,0,0,0,0,0,0
10/1/22 03:10,0,0,0,0,0,0,0,0,0
10/1/22 03:20,0,0,0,0,0,0,0,0,0
10/1/22 03:30,0,0,0.254,0,0,0,0,0,0
10/1/22 03:40,0,0,0,0,0,0,0,0,0
10/1/22 03:50,0,0,0,0,0,0,0,0,0
10/1/22 04:00,0,0,0,0,0,0,0,0,0
10/1/22 04:10,0,0,0,0,0,0,0,0,0
10/1/22 04:20,0,0,0,0,0,0,0,0,0
10/1/22 04:30,0,0,0,0,0,0,0,0,0
10/1/22 04:40,0,0,0,0,0,0,0,0,0
10/1/22 04:50,0,0,0,0,0,0,0,0,0
10/1/22 05:00,0,0,0,0,0,0,0,0,0
10/1/22 05:10,0,0,0,0,0,0,0,0,0
10/1/22 05:20,0,0,0,0,0,0,0,0,0
10/1/22 05:30,0,0,0,0,0,0,0,0,0
10/1/22 05:40,0,0,0,0,0,0,0,0,0
10/1/22 05:50,0,0,0,0,0,0,0,0,0
10/1/22 06:00,0,0,0,0,0,0,0,0,0
10/1/22 06:10,0,0,0,0,0,0,0,0,0
10/1/22 06:20,0,0,0,0,0,0,0,0,0
10/1/22 06:30,0,0,0,0,0,0,0,0,0
10/1/22 06:40,0,0,0,0,0,0,0,0,0
10/1/22 06:50,0,0,0,0,0,0,0,0,0
10/1/22 07:00,0,0,0,0,0,0.254,0,0,0
10/1/22 07:10,0,0,0,0,0,0,0,0,0
10/1/22 07:20,0,0,0,0,0,0,0,0,0
10/1/22 07:30,0,0,0,0,0,0,0,0,0
10/1/22 07:40,0,0,0,0,0,0,0,0,0
10/1/22 07:50,0,0,0,0,0,0,0,0,0
10/1/22 08:00,0,0,0,0,0,0,0,0,0
10/1/22 08:10,0,0,0,0,0,0,0,0,0
10/1/22 08:20,0,0,0,0,0,0,0,0,0
10/1/22 08:30,0,0,0,0,0,0,0,0,0
10/1/22 08:40,0,0,0,0,0,0,0,0,0
10/1/22 08:50,0,0,0,0,0,0,0,0,0
10/1/22 09:00,0,0,0,0,0,0,0,0,0
10/1/22 09:10,0,0,0,0,0,0,0,0,0
10/1/22 09:20,0,0,0,0,0,0,0,0,0
10/1/22 09:30,0,0,0,0,0,0,0,0,0
10/1/22 09:40,0,0,0,0,0,0,0,0,0
10/1/22 09:50,0,0,0,0,0,0,0,0,0
10/1/22 10:00,0,0,0,0,0,0,0,0,0
10/1/22 10:10,0,0,0,0,0,0,0,0,0
10/1/22 10:20,0,0,0,0,0,0,0,0,0
